server_id,user_id
tts-127281511,NAS:AXON
tts-12035732,NAS:DTV
tts-120195246,NAS:OKTA
tts-120075582,NAS:VEON
tts-11704179,NAS:ULTA
tts-117027846,NAS:FWONK
tts-117027845,NAS:FWONA
tts-11317091,NAS:JAVA
tts-11222722,NAS:MELI
tts-11159809,NAS:LULU
tts-111093294,NYS:DTV
tts-110325346,NAS:TTD
tts-1076458,NAS:BIIB
tts-104028642,NAS:BATRK
tts-104028640,NAS:BATRA
tts-99960993,NAS:IAC
tts-98772733,NYS:HUBB
tts-97735350,NYS:CSRA
tts-972725,NYS:MHS
tts-96983136,NYS:FCPT
tts-96649775,NYS:HPE
tts-9545523,NAS:PODD
tts-931139,NYS:MOH
tts-90010722,NYS:CPGX
tts-89838560,NYS:BXLT
tts-89712747,NYS:ZBH
tts-89712746,NYS:TGNA
tts-87988853,NYS:ACV
tts-85481127,NYS:ETSY
tts-84995962,NYS:GDDY
tts-84737604,NAS:SEDG
tts-832561,NAS:NDSN
tts-832355,NAS:HBAN
tts-832261,NAS:FITB
tts-832208,NAS:ERIE
tts-832041,NAS:CINF
tts-831144,NAS:ZION
tts-831103,NAS:ZBRA
tts-830813,NAS:TROW
tts-830806,NAS:TRMB
tts-830675,NAS:TECH
tts-830030,NAS:NTRS
tts-829958,NAS:NKTR
tts-829885,NAS:NAVI
tts-829435,NAS:JKHY
tts-828501,NYS:TEX
tts-828393,NYS:COHR
tts-828358,NYS:NSC
tts-828179,NYS:GPN
tts-828125,NAS:CASY
tts-828123,NYS:EMN
tts-828121,NYS:EMC
tts-828100,NYS:DIS
tts-828083,NYS:CVG
tts-828065,NYS:CNX
tts-828055,NYS:CL
tts-828038,NYS:CCU
tts-827969,NYS:ATO
tts-827736,NYS:XOM
tts-827699,NYS:X
tts-827695,NYS:WY
tts-827684,NYS:WSM
tts-827659,NYS:WMB
tts-827658,NYS:WM
tts-827634,NYS:WEC
tts-827621,NYS:WAB
tts-827602,NYS:VNO
tts-827564,NYS:V
tts-827549,NYS:USB
tts-827545,NYS:UPS
tts-827542,NYS:UNP
tts-827538,NYS:UNM
tts-827537,NYS:UNH
tts-827530,NYS:UIS
tts-827518,NYS:UDR
tts-827482,NYS:TXT
tts-827432,NYS:TPL
tts-827410,NYS:TMO
tts-827389,NYS:TJX
tts-827386,NYS:TIE
tts-827379,NYS:THC
tts-827371,NYS:TFX
tts-827362,NYS:TDY
tts-827333,NYS:SYY
tts-827318,NYS:SWY
tts-827310,NYS:SWK
tts-827302,NYS:SUN
tts-827294,NYS:STZ
tts-827287,NYS:STR
tts-827276,NYS:STJ
tts-827261,NYS:SRE
tts-827241,NYS:SPG
tts-827220,NYS:SNV
tts-827189,NYS:SLB
tts-827138,NYS:SEE
tts-827106,NYS:S
tts-827094,NYS:RTN
tts-827085,NYS:RRC
tts-827065,NYS:RL
tts-827052,NYS:RIG
tts-827051,NYS:RHI
tts-827022,NYS:RDC
tts-827019,NYS:RCL
tts-827000,NYS:R
tts-826992,NYS:PWR
tts-826956,NYS:PRU
tts-826938,NAS:ACGL
tts-826933,NYS:PPG
tts-826926,NYS:POM
tts-826919,NYS:PNW
tts-826918,NYS:PNR
tts-826917,NAS:ACAS
tts-826879,NYS:PKG
tts-826853,NYS:PHM
tts-826848,NYS:PH
tts-826847,NYS:PGR
tts-826840,NYS:PG
tts-826774,NYS:PCP
tts-826769,NYS:PCL
tts-826756,NYS:OXY
tts-826738,NYS:OMX
tts-826733,NYS:OMC
tts-826708,NYS:O
tts-826630,NYS:NOC
tts-826586,NYS:NI
tts-826554,NYS:NE
tts-826505,NYS:NBL
tts-826442,NYS:MWV
tts-826422,NYS:MTD
tts-826421,NYS:MTB
tts-826414,NYS:MRO
tts-826413,NYS:MRK
tts-826399,NYS:MO
tts-826391,NYS:MMM
tts-826366,NYS:MKC
tts-826358,NYS:MJN
tts-826337,NYS:MI
tts-826333,NYS:MHK
tts-826329,NYS:MGM
tts-826316,NYS:MET
tts-826302,NYS:MDT
tts-826300,NYS:MDP
tts-826286,NYS:MCK
tts-826261,NYS:MAC
tts-826254,NYS:MAA
